"SeqNo";"Type";"DHID";"Parent";"Name";"Latitude";"Longitude";"MunicipalityCode";"Municipality";"DistrictCode";"District";"Condition";"State";"Description";"Authority"
"257537";"S";"de:01004:66235";"de:01004:66235";"Neumünster Westerländer Straße";"54,059877";"9,94215";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257538";"Q";"de:01004:66235::1";"de:01004:66235";"Neumünster Westerländer Straße";"54,059839";"9,941729";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257539";"Q";"de:01004:66235::2";"de:01004:66235";"Neumünster Westerländer Straße";"54,059832";"9,942027";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257540";"S";"de:01004:66236";"de:01004:66236";"Neumünster Wilhelm-Busch-Straße";"54,065399";"10,015392";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257541";"Q";"de:01004:66236::1";"de:01004:66236";"Neumünster Wilhelm-Busch-Straße";"54,06529";"10,014952";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257542";"Q";"de:01004:66236::2";"de:01004:66236";"Neumünster Wilhelm-Busch-Straße";"54,065392";"10,014991";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257543";"S";"de:01004:66237";"de:01004:66237";"Neumünster Wilhelm-Tanck-Schule";"54,076833";"9,975657";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257544";"Q";"de:01004:66237::1";"de:01004:66237";"Neumünster Wilhelm-Tanck-Schule";"54,07683";"9,97561";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257545";"Q";"de:01004:66237::2";"de:01004:66237";"Neumünster Wilhelm-Tanck-Schule";"54,076843";"9,975712";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257546";"S";"de:01004:66238";"de:01004:66238";"Neumünster Wilhelminenstraße";"54,099588";"9,989809";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257547";"Q";"de:01004:66238::1";"de:01004:66238";"Neumünster Wilhelminenstraße";"54,099115";"9,989529";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257548";"Q";"de:01004:66238::2";"de:01004:66238";"Neumünster Wilhelminenstraße";"54,099804";"9,989882";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257549";"S";"de:01004:66239";"de:01004:66239";"Neumünster Wilhelmsruh";"54,078212";"10,01103";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257550";"Q";"de:01004:66239::1";"de:01004:66239";"Neumünster Wilhelmsruh";"54,078212";"10,01103";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257551";"Q";"de:01004:66239::2";"de:01004:66239";"Neumünster Wilhelmsruh";"54,078178";"10,011097";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257552";"S";"de:01004:66240";"de:01004:66240";"Neumünster Wilhelmstraße";"54,071542";"9,975867";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257553";"Q";"de:01004:66240::1";"de:01004:66240";"Neumünster Wilhelmstraße";"54,071602";"9,975882";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257554";"S";"de:01004:66241";"de:01004:66241";"Neumünster Wookerkamp";"54,099629";"10,003978";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257555";"Q";"de:01004:66241::1";"de:01004:66241";"Neumünster Wookerkamp";"54,099551";"10,004144";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257556";"Q";"de:01004:66241::2";"de:01004:66241";"Neumünster Wookerkamp";"54,099643";"10,004649";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257557";"Q";"de:01004:66241::3";"de:01004:66241";"Neumünster Wookerkamp";"54,099551";"10,003058";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257558";"Q";"de:01004:66241::4";"de:01004:66241";"Neumünster Wookerkamp";"54,099587";"10,003105";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257559";"S";"de:01004:66242";"de:01004:66242";"Neumünster Wührenbeksweg";"54,051378";"9,965792";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257560";"Q";"de:01004:66242::1";"de:01004:66242";"Neumünster Wührenbeksweg";"54,051378";"9,965792";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257561";"Q";"de:01004:66242::2";"de:01004:66242";"Neumünster Wührenbeksweg";"54,051344";"9,965806";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257562";"S";"de:01004:66243";"de:01004:66243";"Neumünster Würen";"54,052403";"10,026466";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257563";"Q";"de:01004:66243::1";"de:01004:66243";"Neumünster Würen";"54,05244";"10,026606";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257564";"Q";"de:01004:66243::2";"de:01004:66243";"Neumünster Würen";"54,052338";"10,025976";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257565";"S";"de:01004:66244";"de:01004:66244";"Neumünster ZOB/Bahnhof";"54,075121";"9,980262";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257566";"Q";"de:01004:66244::1";"de:01004:66244";"Neumünster ZOB/Bahnhof";"54,075121";"9,980262";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257567";"Q";"de:01004:66244::2";"de:01004:66244";"Neumünster ZOB/Bahnhof";"54,075254";"9,980448";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257568";"Q";"de:01004:66244::3";"de:01004:66244";"Neumünster ZOB/Bahnhof";"54,075336";"9,980328";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257569";"Q";"de:01004:66244::4";"de:01004:66244";"Neumünster ZOB/Bahnhof";"54,074887";"9,980256";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257570";"Q";"de:01004:66244::5";"de:01004:66244";"Neumünster ZOB/Bahnhof";"54,075112";"9,980246";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257571";"Q";"de:01004:66244::6";"de:01004:66244";"Neumünster ZOB/Bahnhof";"54,074142";"9,979656";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257572";"Q";"de:01004:66244::7";"de:01004:66244";"Neumünster ZOB/Bahnhof";"54,075698";"9,981147";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
